"No","ID","Site","Name","Plot","Subplot","Micro_plot","Block","Row","Date","year_ID","Sampling_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","Fraction","long","lat","BD","Clay","Silt","Sand","OC","TN","CN_ratio","d13C","d15N","MWD_cor","GMD_cor","DS","DS_pc","OC_Frac","TN_Frac","OC_Frac_pc","TN_Frac_pc","cc_type"
1,"A 20-2 8-1","A","A8","8","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Mustard","bulk",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.564,0.185,13.8594594594595,-26.0407366350352,6.34691207518496,2.4117698572087,0.990422266929389,NA,NA,NA,NA,NA,NA,"Single"
2,"8-2","A","A8","8","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Mustard","bulk",9.02435825164329,52.7629876144873,1.365,7.41035123653433,72.7933950196557,19.79625374381,1.955,0.157,12.4522292993631,-27.6855085535685,6.94644204809977,2.97852440563816,1.65357188965123,NA,NA,NA,NA,NA,NA,"Single"
3,"8-3","A","A8","8","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Mustard","bulk",9.02435825164329,52.7629876144873,1.742,5.75839944529166,73.7935815035457,20.4480190511626,1.642,0.131,12.5343511450382,-27.5966781398761,6.61112308041182,2.6990908194905,1.39063486009929,NA,NA,NA,NA,NA,NA,"Single"
4,"9-1","A","A9","9","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Fallow","bulk",9.02446039835671,52.7629355855127,1.213,7.39746546560829,72.6108761065532,19.9916584278385,2.201,0.174,12.6494252873563,-27.3255564150644,6.52863829798179,2.59526846439939,1.63605748169098,NA,NA,NA,NA,NA,NA,"Fallow"
5,"9-2","A","A9","9","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Fallow","bulk",9.02446039835671,52.7629355855127,1.372,6.20572379204711,72.7457483788458,21.0485278291071,2.126,0.16,13.2875,-27.4849359688059,6.78109328100615,2.02125733131812,0.861940461152038,NA,NA,NA,NA,NA,NA,"Fallow"
6,"9-3","A","A9","9","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Fallow","bulk",9.02446039835671,52.7629355855127,1.751,5.01398211848593,70.9447262408151,24.041291640699,1.698,0.123,13.8048780487805,-27.7400430445254,6.71705677079098,3.04138665652634,1.63825402359332,NA,NA,NA,NA,NA,NA,"Fallow"
7,"10-1","A","A10","10","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Mix4","bulk",9.02456254412832,52.7628835583476,1.302,12.9414882786904,66.5157638296997,20.5427478916099,2.169,0.166,13.066265060241,-26.827266132399,6.20001005664469,2.83557991766878,1.31271436530091,NA,NA,NA,NA,NA,NA,"Mix"
8,"10-2","A","A10","10","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Mix4","bulk",9.02456254412832,52.7628835583476,1.37,5.68128961553107,74.8884058272295,19.4303045572394,2.156,0.163,13.2269938650307,-27.6833347627855,6.87504348391514,2.82405961381794,1.63231505530043,NA,NA,NA,NA,NA,NA,"Mix"
9,"10-3","A","A10","10","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Mix4","bulk",9.02456254412832,52.7628835583476,1.712,4.66873299956653,73.8642705089359,21.4669964914976,1.992,0.144,13.8333333333333,-27.6185083165779,6.77985852203332,3.29515608833683,1.92470696963346,NA,NA,NA,NA,NA,NA,"Mix"
10,"11-1","A","A11","11","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Mix12","bulk",9.02466468372645,52.7628315321895,1.121,5.783279816009,74.6063924403862,19.6103277436048,2.338,0.181,12.9171270718232,-27.3372823288023,6.25987141922444,2.89825041471296,1.34184901874096,NA,NA,NA,NA,NA,NA,"Mix"
11,"11-2","A","A11","11","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Mix12","bulk",9.02466468372645,52.7628315321895,1.293,6.38554043090868,73.7779977823161,19.8364617867752,2.12,0.159,13.3333333333333,-27.9035193411417,6.91715768883729,3.58601478557923,2.32000016160939,NA,NA,NA,NA,NA,NA,"Mix"
12,"11-3","A","A11","11","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Mix12","bulk",9.02466468372645,52.7628315321895,1.756,4.34205190076203,78.3847366186926,17.2732114805454,1.522,0.096,15.8541666666667,-27.902833977696,5.65468469482742,2.47780054661268,1.14684870725145,NA,NA,NA,NA,NA,NA,"Mix"
13,"11-1","A","A12","12","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Phacelia","bulk",9.0247668264124,52.7627795030699,1.412,6.69030390079889,71.7353331536887,21.5743629455125,2.238,0.171,13.0877192982456,-26.492844702038,6.31409913909092,2.11198331659708,0.776011732750105,NA,NA,NA,NA,NA,NA,"Single"
14,"12-2","A","A12","12","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Phacelia","bulk",9.0247668264124,52.7627795030699,1.326,6.21769348484089,73.3977026256991,20.38460388946,2.068,0.159,13.0062893081761,-27.788077607293,6.4544084145918,3.37424257224112,1.8205460600439,NA,NA,NA,NA,NA,NA,"Single"
15,"12-3","A","A12","12","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Phacelia","bulk",9.0247668264124,52.7627795030699,1.616,5.13677964429267,69.1511828734423,25.712037482265,1.731,0.117,14.7948717948718,-27.8244527479631,6.66736908392078,3.5449461506838,2.18929038107863,NA,NA,NA,NA,NA,NA,"Single"
16,"13-1","A","A13","13","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Clover","bulk",9.02486897369257,52.7627274743925,1.304,6.67411166535948,71.9649778905663,21.3609104440742,2.065,0.165,12.5151515151515,-27.2956307439347,6.17795728522051,2.86810061888304,1.4202211266288,NA,NA,NA,NA,NA,NA,"Single"
17,"13-2","A","A13","13","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Clover","bulk",9.02486897369257,52.7627274743925,1.35,6.59175393043993,73.0592012008676,20.3490448686924,1.85,0.146,12.6712328767123,-27.7932355627464,6.60690187663592,3.09307630851078,1.69525654043277,NA,NA,NA,NA,NA,NA,"Single"
18,"13-3","A","A13","13","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Clover","bulk",9.02486897369257,52.7627274743925,1.647,5.71616193199068,73.7363372933586,20.5475007746507,1.665,0.129,12.906976744186,-27.5066386000792,6.82318682829999,3.15543798698987,1.93997786510592,NA,NA,NA,NA,NA,NA,"Single"
19,"14-1","A","A14","14","1",NA,"2","1","2020-10-19","20-3","1","2020","1","0-10","8","Oat","bulk",9.02497111682944,52.7626754461593,1.292,7.14229062439986,72.3023938680548,20.5553155075454,2.051,0.169,12.1360946745562,-27.3727866283556,6.46314801355569,2.51156241189121,1.23383152170026,NA,NA,NA,NA,NA,NA,"Single"
20,"14-2","A","A14","14","1",NA,"2","1","2020-10-19","20-3","1","2020","2","20-30","8","Oat","bulk",9.02497111682944,52.7626754461593,1.418,6.75429384195527,73.6183032432058,19.6274029148389,1.829,0.151,12.112582781457,-27.6392688013405,6.8253069174143,2.71594904654522,1.71053956066891,NA,NA,NA,NA,NA,NA,"Single"
21,"14-3","A","A14","14","1",NA,"2","1","2020-10-19","20-3","1","2020","3","30-40","8","Oat","bulk",9.02497111682944,52.7626754461593,1.712,5.22876078756824,68.5065790049401,26.2646602074916,1.454,0.12,12.1166666666667,-27.5613852475041,6.7246670324823,2.69651811574265,1.49763137539772,NA,NA,NA,NA,NA,NA,"Single"
22,"22-1","A","A22","22","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Oat","bulk",9.02450119837841,52.7630908841593,1.298,6.9963656077361,75.6103291072271,17.3933052850368,2.253,0.186,12.1129032258065,-27.6672895670778,6.44913913074347,2.47519952333174,1.06439957345643,NA,NA,NA,NA,NA,NA,"Single"
23,"22-2","A","A22","22","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Oat","bulk",9.02450119837841,52.7630908841593,1.359,7.17202654249624,74.8394399386186,17.9885335188852,1.943,0.156,12.4551282051282,-27.8187793979153,7.03963677686327,3.34778818200468,1.91387526593378,NA,NA,NA,NA,NA,NA,"Single"
24,"22-3","A","A22","22","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Oat","bulk",9.02450119837841,52.7630908841593,1.715,5.602637523206,78.0629628688425,16.3343996079515,1.813,0.132,13.7348484848485,-27.7742301757844,6.51853787377266,3.292637643105,2.04559153633081,NA,NA,NA,NA,NA,NA,"Single"
25,"23-1","A","A23","23","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Clover","bulk",9.024603345,52.763038855,1.265,7.17457753578718,73.8967194199025,18.9287030443103,2.271,0.181,12.5469613259669,-27.6734055862585,6.31275104704729,3.04490482940964,1.98252798612533,NA,NA,NA,NA,NA,NA,"Single"
26,"23-2","A","A23","23","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Clover","bulk",9.024603345,52.763038855,1.372,7.18439895205254,74.2480533864963,18.5675476614512,1.964,0.165,11.9030303030303,-27.7468016398455,6.86559953933496,3.10180068420545,1.55489869498117,NA,NA,NA,NA,NA,NA,"Single"
27,"23-3","A","A23","23","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Clover","bulk",9.024603345,52.763038855,1.633,6.04227321736678,65.5998300111784,28.3578967714548,1.628,0.13,12.5230769230769,-27.7319057908463,6.57903988625852,3.36399565102845,2.17518147742066,NA,NA,NA,NA,NA,NA,"Single"
28,"24-1","A","A24","24","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Phacelia","bulk",9.02470549289855,52.7629868264323,1.367,6.96597994645286,74.6681107666531,18.3659092868941,2.321,0.181,12.8232044198895,-27.4404721926579,6.47354321204878,2.86098606597695,1.44138779777275,NA,NA,NA,NA,NA,NA,"Single"
29,"24-2","A","A24","24","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Phacelia","bulk",9.02470549289855,52.7629868264323,1.395,6.43595139132467,74.4230015433201,19.1410470653553,1.845,0.153,12.0588235294118,-27.6521750064034,6.83064058313302,2.87654588978336,1.24575377414034,NA,NA,NA,NA,NA,NA,"Single"
30,"24-3","A","A24","24","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Phacelia","bulk",9.02470549289855,52.7629868264323,1.64,5.40836349073862,77.8804342666323,16.7112022426291,1.643,0.131,12.5419847328244,-27.5770253990055,6.95346347801401,3.45138512875342,2.2504384439194,NA,NA,NA,NA,NA,NA,"Single"
31,"25-1","A","A25","25","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Fallow","bulk",9.02480763579219,52.7629347976313,1.451,6.29442121602619,75.3237057713775,18.3818730125963,2.156,0.177,12.180790960452,-27.4754211791151,6.35290379274891,2.55663609641418,1.26879011115712,NA,NA,NA,NA,NA,NA,"Fallow"
32,"25-2","A","A25","25","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Fallow","bulk",9.02480763579219,52.7629347976313,1.402,6.08630450325176,75.333404952611,18.5802905441372,1.78,0.146,12.1917808219178,-27.7841781515433,6.87593475388567,2.77564055259667,1.52686218772714,NA,NA,NA,NA,NA,NA,"Fallow"
33,"25-3","A","A25","25","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Fallow","bulk",9.02480763579219,52.7629347976313,1.66,4.61628573153809,71.491782117483,23.8919321509789,1.7,0.137,12.4087591240876,-27.8272008313076,6.69187310834366,2.84060408645692,1.51607392164741,NA,NA,NA,NA,NA,NA,"Fallow"
34,"26-1","A","A26","26","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Mustard","bulk",9.02490977420781,52.7628827723687,1.422,6.12834524696165,74.1805206129443,19.691134140094,1.921,0.164,11.7134146341463,-27.597997402449,6.61212486851647,2.70411281001143,1.28826332904468,NA,NA,NA,NA,NA,NA,"Single"
35,"26-2","A","A26","26","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Mustard","bulk",9.02490977420781,52.7628827723687,1.382,6.58037581215889,72.0833167537631,21.336307434078,1.841,0.159,11.5786163522013,-27.7117165884788,6.94164189894637,3.27268651492419,1.9955607583999,NA,NA,NA,NA,NA,NA,"Single"
36,"26-3","A","A26","26","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Mustard","bulk",9.02490977420781,52.7628827723687,1.614,5.17565895172066,69.8283848320164,24.9959562162629,1.352,0.11,12.2909090909091,-27.5322051125816,6.64128888076532,3.35089624796191,2.31575705788162,NA,NA,NA,NA,NA,NA,"Single"
37,"27-1","A","A27","27","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Mix4","bulk",9.02501191872313,52.7628307444083,1.387,7.1181511092588,70.8012066482383,22.0806422425029,1.737,0.147,11.8163265306122,-27.2346586371831,6.2873505092731,2.33235252285043,1.1541036325162,NA,NA,NA,NA,NA,NA,"Mix"
38,"27-2","A","A27","27","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Mix4","bulk",9.02501191872313,52.7628307444083,1.247,6.5240185023886,72.4798868492919,20.9960946483195,1.722,0.152,11.3289473684211,-27.9802367782596,6.96105774160562,3.02838530611397,1.80875152683703,NA,NA,NA,NA,NA,NA,"Mix"
39,"27-3","A","A27","27","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Mix4","bulk",9.02501191872313,52.7628307444083,1.598,3.9330296804647,73.4967731721853,22.57019714735,1.574,0.134,11.7462686567164,-27.4294446368738,6.7403094043673,3.11377944476505,1.69430990861042,NA,NA,NA,NA,NA,NA,"Mix"
40,"28-1","A","A28","28","1",NA,"2","2","2020-10-19","20-3","1","2020","1","0-10","8","Mix12","bulk",9.02511406479224,52.7627787146814,1.187,6.05504826024768,74.5497541801789,19.3951975595734,1.876,0.158,11.873417721519,-27.4163232219006,6.31850064416238,3.15461422779432,1.41204033153383,NA,NA,NA,NA,NA,NA,"Mix"
41,"28-2","A","A28","28","1",NA,"2","2","2020-10-19","20-3","1","2020","2","20-30","8","Mix12","bulk",9.02511406479224,52.7627787146814,1.33,6.09767553706474,73.561319776933,20.3410046860023,1.916,0.166,11.5421686746988,-27.8380756412328,6.52503704209955,3.68707289924201,2.6298775875514,NA,NA,NA,NA,NA,NA,"Mix"
42,"28-3","A","A28","28","1",NA,"2","2","2020-10-19","20-3","1","2020","3","30-40","8","Mix12","bulk",9.02511406479224,52.7627787146814,1.791,4.36163333816599,77.3332292991597,18.3051373626743,1.443,0.126,11.452380952381,-27.5684993262803,6.81323693058499,3.49790493594287,2.34569380870613,NA,NA,NA,NA,NA,NA,"Mix"
43,"36-1","A","A36","36","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Mix4","bulk",9.0246441464124,52.7631941530699,1.211,8.70474929149456,73.5222965840242,17.7729541244812,2.019,0.167,12.0898203592814,-27.0315203120531,6.52180882877745,2.75185462201729,1.16382750762399,NA,NA,NA,NA,NA,NA,"Mix"
44,"36-2","A","A36","36","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Mix4","bulk",9.0246441464124,52.7631941530699,1.438,8.2937928895634,73.9208401145435,17.7853669958932,1.922,0.161,11.9378881987578,-27.7258687535246,6.70984773397305,3.31432424011399,1.88428055649072,NA,NA,NA,NA,NA,NA,"Mix"
45,"36-3","A","A36","36","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Mix4","bulk",9.0246441464124,52.7631941530699,1.69,7.53202811897274,73.9604295274594,18.5075423535678,1.342,0.109,12.3119266055046,-27.3556673993415,6.81581800783158,3.4382479259257,1.96217176263177,NA,NA,NA,NA,NA,NA,"Mix"
46,"37-1","A","A37","37","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Mix12","bulk",9.02474629431065,52.7631421245021,1.207,8.64165263187984,73.1752843828495,18.1830629852706,1.897,0.161,11.7826086956522,-27.3479528955408,6.5915776460555,2.58743766609913,1.16063792414998,NA,NA,NA,NA,NA,NA,"Mix"
47,"37-2","A","A37","37","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Mix12","bulk",9.02474629431065,52.7631421245021,1.342,8.26252116541266,72.8672424430715,18.8702363915158,1.627,0.14,11.6214285714286,-27.5814228780178,7.10598390578887,3.25253960375279,2.14418981822755,NA,NA,NA,NA,NA,NA,"Mix"
48,"37-3","A","A37","37","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Mix12","bulk",9.02474629431065,52.7631421245021,1.913,8.52699440457328,73.9651119177916,17.5078936776351,1.551,0.136,11.4044117647059,-27.3156125883229,6.76871057412097,3.32763921777259,1.79150696286023,NA,NA,NA,NA,NA,NA,"Mix"
49,"38-1","A","A38","38","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Phacelia","bulk",9.02484843835671,52.7630900955127,1.369,8.5954695260385,71.6403825188679,19.7641479550936,2.119,0.167,12.688622754491,-27.3510004717356,6.34180018340407,2.72344499756372,1.55415961815832,NA,NA,NA,NA,NA,NA,"Single"
50,"38-2","A","A38","38","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Phacelia","bulk",9.02484843835671,52.7630900955127,1.398,7.83299222858131,71.5459915164159,20.6210162550028,1.648,0.144,11.4444444444444,-27.5858169538741,6.92864412201626,2.58247307373835,1.16915349062357,NA,NA,NA,NA,NA,NA,"Single"
51,"38-3","A","A38","38","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Phacelia","bulk",9.02484843835671,52.7630900955127,1.788,7.59783940388815,67.8096594664331,24.5925011296787,1.454,0.128,11.359375,-27.6671570044291,7.14922641428593,3.22197436743277,1.86483642659945,NA,NA,NA,NA,NA,NA,"Single"
52,"39-1","A","A39","39","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Clover","bulk",9.02495058588994,52.7630380668998,1.253,7.38413103025242,71.6999813788834,20.9158875908642,1.672,0.148,11.2972972972973,-27.3128032655181,6.22306253157456,2.95115535036173,1.40822060137655,NA,NA,NA,NA,NA,NA,"Single"
53,"39-2","A","A39","39","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Clover","bulk",9.02495058588994,52.7630380668998,1.395,7.3422323598243,71.1820889805467,21.475678659629,1.271,0.119,10.6806722689076,-27.3713484494369,7.22706819065697,2.9738659268014,1.67131680416635,NA,NA,NA,NA,NA,NA,"Single"
54,"39-3","A","A39","39","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Clover","bulk",9.02495058588994,52.7630380668998,1.735,5.50888915600644,71.0855899447269,23.4055208992666,1.174,0.106,11.0754716981132,-27.3091706790959,6.83720402778301,2.37804646645616,1.59684072624629,NA,NA,NA,NA,NA,NA,"Single"
55,"40-1","A","A40","40","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Oat","bulk",9.02505272520779,52.7629860403186,1.402,7.99890783583624,72.0111466794405,19.9899454847233,1.804,0.161,11.2049689440994,-27.4766422383442,6.54084925894121,2.55734358725335,1.14739867130283,NA,NA,NA,NA,NA,NA,"Single"
56,"40-2","A","A40","40","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Oat","bulk",9.02505272520779,52.7629860403186,1.405,8.34490601756618,71.2117553444652,20.4433386379686,1.411,0.127,11.1102362204724,-27.0113694517845,7.03878086493106,3.40142091570241,2.13839673090407,NA,NA,NA,NA,NA,NA,"Single"
57,"40-3","A","A40","40","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Oat","bulk",9.02505272520779,52.7629860403186,1.851,8.35102586878929,65.0551816852937,26.593792445917,1.584,0.144,11,-27.7003969940669,6.88369173826261,3.31812890239619,1.78393065136912,NA,NA,NA,NA,NA,NA,"Single"
58,"41-1","A","A41","41","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Mustard","bulk",9.02515486627294,52.7629340123076,1.328,8.315498340634,72.0212617787157,19.6632398806503,1.813,0.153,11.8496732026144,-27.2907985978079,6.48343466048128,2.41167159829427,1.28424817514313,NA,NA,NA,NA,NA,NA,"Single"
59,"41-2","A","A41","41","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Mustard","bulk",9.02515486627294,52.7629340123076,1.387,8.09897973446797,63.4020721224934,28.4989481430386,1.724,0.146,11.8082191780822,-27.6453945120363,6.83797967566472,3.99477840759301,1.83861167967348,NA,NA,NA,NA,NA,NA,"Single"
60,"41-3","A","A41","41","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Mustard","bulk",9.02515486627294,52.7629340123076,1.68,7.23504768254068,73.7424204598908,19.0225318575685,1.435,0.121,11.8595041322314,-27.4431819289251,7.034495231831,2.95417227620989,1.77357830393733,NA,NA,NA,NA,NA,NA,"Single"
61,"42-1","A","A42","42","1",NA,"2","3","2020-10-19","20-3","1","2020","1","0-10","8","Fallow","bulk",9.02525701268894,52.7628819836613,1.183,8.14332813064266,72.6754956325387,19.1811762368186,1.889,0.155,12.1870967741935,-26.7474920201645,6.55294425258443,2.31181469418948,1.11090722120797,NA,NA,NA,NA,NA,NA,"Fallow"
62,"42-2","A","A42","42","1",NA,"2","3","2020-10-19","20-3","1","2020","2","20-30","8","Fallow","bulk",9.02525701268894,52.7628819836613,1.322,7.4265950414932,72.6338100459284,19.9395949125784,1.879,0.166,11.3192771084337,-27.7403709621707,7.09082104446322,2.84869987263582,1.51699914043743,NA,NA,NA,NA,NA,NA,"Fallow"
63,"42-3","A","A42","42","1",NA,"2","3","2020-10-19","20-3","1","2020","3","30-40","8","Fallow","bulk",9.02525701268894,52.7628819836613,1.7,6.43886426266472,76.4496019009077,17.1115338364276,1.546,0.13,11.8923076923077,-27.5130110208508,7.34027491968557,2.84814303959339,1.37067043502647,NA,NA,NA,NA,NA,NA,"Fallow"
